Company Name,Domain,Industry,Location,Headcount,Linkedin,Description,Company Type,Keywords,Technologies,Tags
BPGbio,bpgbio.com,Biotechnology Research,"Framingham, Massachusetts, United States",51-200,https://www.linkedin.com/company/bpgbio,"BPGbio is a biopharma company that focuses on oncology, neurology, and rare diseases through AI-powered therapeutics in late-stage development.",privately held,"biopharma, diagnostics, oncology, neurology, rare diseases, therapeutics, ai-powered, clinical stage","Google Analytics, Gravity Forms, Mysql, Php, Font Awesome, Siteground, Jquery Migrate, Nginx, Wordpress, Jquery",""
Sampled,sampled.com,Biotechnology Research,"Piscataway, New Jersey, United States",201-500,https://www.linkedin.com/company/sampledsmartlabs,Sampled Smart Labs is a technology company that specializes in providing innovative tech solutions through smart technology and data analytics.,privately held,"smart technology, internet of things (iot), data analytics, innovation, tech solutions","Google Analytics, Plesk, Basekit, Twitter Emoji (Twemoji), Hubspot, Php, Wordpress, Jquery Migrate, Font Awesome, Mysql, Google Font Api, Google Tag Manager, Nginx, Youtube, Jquery",""
Terasaki Institute for Biomedical Innovation,terasaki.org,Biotechnology Research,"Los Angeles, California, United States",51-200,https://www.linkedin.com/company/terasaki-inst,Terasaki Institute for Biomedical Innovation is a biomedical research institute focused on developing healthcare technology and biomedical innovations.,non profit,"biomedical innovation, healthcare technology, biomedical research, medical devices, life sciences","Apache, Mailchimp, Google Analytics, Twitter, Google Font Api, Apache Http Server, Animate.Css, Swiper Slider, Jquery, Joomla, Php",""
Forage Genetics International,foragegenetics.com,Biotechnology Research,"Arden Hills, Minnesota, United States",201-500,https://www.linkedin.com/company/forage-genetics-international,Forage Genetics International is an agriculture biotechnology company that specializes in forage crops and plant breeding.,privately held,"agriculture, biotechnology, forage crops, genetics, plant breeding","Recaptcha, Cloudflare, Kestrel, Owl Carousel, Typekit, Slick, Font Awesome, Google Font Api, Azure, Google Analytics, Iis, Windows Server, Zurb Foundation, Kentico Cms, Adobe Dtm, Jquery, Microsoft Asp.Net, Google Tag Manager",""
Biogénesis Bagó,biogenesisbago.com,Biotechnology Research,"Buenos Aires, Argentina",501-1000,https://www.linkedin.com/company/biogenesisbago,Biogénesis Bagó is a pharmaceutical company that specializes in veterinary products and biotechnology solutions for animal health.,privately held,"pharmaceuticals, veterinary products, animal health, biotechnology","Apache, Apache Http Server",""
Amgen,amgen.co.hu,Biotechnology Research,"Thousand Oaks, California, United States",10001+,https://www.linkedin.com/company/amgen,,public company,,"Iis, Amazon Web Services, Jquery, Modernizr, Windows Server, Apache, Zurb Foundation, Typekit, Amazon Alb, Amazon Elb, Gutenberg, Microsoft Asp.Net, Apache Http Server, Google Tag Manager, Webtrends",""
Sophion,sophion.com,Biotechnology Research,"Ballerup, Denmark",51-200,https://www.linkedin.com/company/sophion-bioscience-as,"Sophion Bioscience is a biotechnology company that specializes in providing research equipment for electrophysiology, specifically focusing on making patch clamping faster, more accurate, and objective.",privately held,"biotechnology, life sciences, electrophysiology, research equipment, patch clamping","Gravity Forms, Jquery Migrate, Wordpress Super Cache, Cloudflare, Google Analytics, Kinsta, Twitter Emoji (Twemoji), Recaptcha, Zurb Foundation, Mysql, Php, Apache, Wordpress, Dojo, Alpine.Js, Jquery Ui, Yoast Seo, Http/3, Jquery, Slick, Jsdelivr, Bootstrap, Litespeed",""
Microbac Laboratories,microbac.com,Biotechnology Research,"Pittsburgh, Pennsylvania, United States",501-1000,https://www.linkedin.com/company/microbac-laboratories-inc-,Microbac Laboratories is a laboratory services company that offers a wide range of testing and analytical services for quality control and research and development purposes.,privately held,"laboratory services, testing services, analytical services, quality control, research and development","Jquery, Google Tag Manager, Apache, Bootstrap, Google Font Api, Hubspot, Google Analytics, Php, Openssl, Centos, Font Awesome, Matomo",""
Amgen,amgen.bg,Biotechnology Research,"Thousand Oaks, California, United States",10001+,https://www.linkedin.com/company/amgen,,public company,,"Zurb Foundation, Microsoft Asp.Net, Iis, Windows Server, Apache, Google Tag Manager, Jquery, Modernizr, Typekit, Gutenberg, Amazon Web Services, Sitecore, Amazon Elb, Slick, Hsts, Bootstrap, Google Analytics",""
REGENXBIO,regenxbio.com,Biotechnology Research,"Rockville, Maryland, United States",201-500,https://www.linkedin.com/company/regenx,REGENXBIO is a biotechnology company that specializes in gene therapy and genetic medicine.,public company,"biotechnology, gene therapy, genetic medicine, medical research","Nginx, Google Analytics, Underscore.Js, Apache, W3 Total Cache, Unix, Gravity Forms, Mysql, Jquery, Bootstrap, Typekit, Revslider, Font Awesome, Google Font Api, Recaptcha, Gsap, Php, Jquery Ui, Twitter Emoji (Twemoji), Wordpress, Modernizr, Google Tag Manager, Jquery Migrate",""
Sabbioni,sabbioni.it,Cosmetics,"Ravenna, Italy",51-200,https://www.linkedin.com/company/profumerie-sabbioni,,privately held,,"Google Analytics, Apache, Zendesk, Google Font Api, Jquery, Fancybox, Php, Criteo, Bootstrap, Facebook, Google Tag Manager",""
Aurinia Pharmaceuticals,auriniapharma.com,Biotechnology Research,"Edmonton, Canada",201-500,https://www.linkedin.com/company/aurinia-pharmaceuticals,Aurinia Pharmaceuticals is a pharmaceutical company that specializes in drug development and clinical trials within the biotechnology sector.,public company,"pharmaceuticals, biotechnology, healthcare, drug development, clinical trials","Google Analytics, Jquery, Google Font Api, Apache, Bootstrap",""
Legend Biotech,legendbiotech.com,Biotechnology Research,"Somerset, New Jersey, United States",1001-5000,https://www.linkedin.com/company/legendbiotechco.,Legend Biotech is a biotechnology company that specializes in cell therapy.,public company,"biotechnology, pharmaceuticals, cell therapy, healthcare","Jquery, Apache, Google Analytics, Google Font Api, Font Awesome, Google Tag Manager, Wordpress Super Cache, Jquery Migrate, Ubuntu, Php, Yoast Seo, Twitter Emoji (Twemoji), Mysql, Wordpress",""
Sirowa Group,sirowa.com,Cosmetics,"Prague, Czechia",51-200,https://www.linkedin.com/company/sirowa-czech-slovakia,Sirowa Group is a cosmetics distribution company that offers a wide range of beauty products from leading international brands to smaller innovative and specialized brands.,privately held,"cosmetics industry, beauty products, cosmetics distribution, international brands, specialized brands","Apache, Mysql, Wordpress, Php, Cloudflare, Jquery Ui, Typo3 Cms, Google Font Api, Cloudflare Browser Insights, Storylane, Google Analytics, Jquery Migrate, Jquery",""
BIO Asia–Taiwan,bioasiataiwan.com,Biotechnology Research,Taiwan,51-200,https://www.linkedin.com/company/bio-asia-taiwan,"July 23 - 27, 2025 - BIO Asia–Taiwan - Connecting with the Asian Value Chain: Innovation, Supply, and Investment. Get involved in Asia’s largest global biotech networking event.",non profit,,"Google Analytics, Facebook, Jquery, Fancybox, Apache, Dreamweaver, Php, Apache Http Server, Tally, Cloudflare",""
Alta Genetics,altagenetics.com.br,Biotechnology Research,Madagascar,201-500,https://www.linkedin.com/company/altabrasil,Alta Genetics is a company specializing in animal genetics for livestock breeding and agricultural biotechnology.,privately held,"animal genetics, livestock breeding, agricultural biotechnology","Kestrel, Windows Server, Google Font Api, Iis, Angular, Microsoft Asp.Net, Google Analytics, Azure, Recaptcha",""
Amgen,amgen.se,Biotechnology Research,"Thousand Oaks, California, United States",10001+,https://www.linkedin.com/company/amgen,,public company,,"Apache, Jquery, Backbone.Js, Amazon Web Services, Underscore.Js, Bootstrap, Lodash, Mediaelement.Js, Google Tag Manager, Videojs, Hammer.Js, Jquery Ui, Sitecore, Amazon Elb, Moment.Js, Google Analytics, Iis, Microsoft Asp.Net, Windows Server",""
Eurofins,eurofins.co.nz,Biotechnology Research,"Luxembourg, Luxembourg",10001+,https://www.linkedin.com/company/eurofins,"Eurofins is a laboratory services company that specializes in providing testing and analysis services for the life sciences, biotechnology, food, and environmental sectors.",public company,"laboratory services, life sciences, biotechnology, food testing, environmental analysis","Amazon Web Services, Amazon Elb, Facebook, Google Tag Manager, Jquery, Windows Server, Jquery Ui, Iis, Google Analytics, Hotjar",""
HVIVO,hvivo.com,Biotechnology Research,"London, United Kingdom",51-200,https://www.linkedin.com/company/hvivo,hVIVO is a biotechnology company that specializes in conducting clinical trials and medical research in the healthcare sector.,public company,"biotechnology, clinical trials, medical research, healthcare","Act On, Mysql, Google Tag Manager, Nginx, Wordpress, Php, Facebook, Google Analytics, Pardot, Yoast Seo, Adroll, Jquery, Hsts, Oxygen, Appier, Http/3, Jquery Ui, Typekit, Twitter Emoji (Twemoji), Flickity, Matomo, Owl Carousel, Hubspot, Jquery Migrate, Slick, Modernizr, Font Awesome, Cloudflare",""
Rigel Pharmaceuticals,rigel.com,Biotechnology Research,"South San Francisco, California, United States",51-200,https://www.linkedin.com/company/rigel,Rigel Pharmaceuticals is a pharmaceutical company that specializes in drug development and medical research.,public company,"pharmaceuticals, biotechnology, drug development, medical research","Google Analytics, Google Font Api, Jquery, Apache, Yoast Seo, Php, Jquery Migrate, Wordpress, Swiper Slider, Elementor, Mysql, Nginx",""
Rheonix,rheonix.com,Biotechnology Research,"Ithaca, New York, United States",51-200,https://www.linkedin.com/company/rheonix-inc,Rheonix is a biotechnology company that specializes in molecular diagnostics to simplify processes and enhance innovation.,privately held,"molecular diagnostics, diagnostic technology, healthcare, biotechnology, medical devices","Apache, Google Analytics, Php, Modernizr, Lightbox, W3 Total Cache, Youtube, Google Font Api, Mailchimp, Font Awesome, Jquery Ui, Jquery, Wordpress, Cloudflare, Tally, Apache Http Server, Mysql, Jquery Migrate, Yoast Seo",""
Amgen,amgen.ro,Biotechnology Research,"Thousand Oaks, California, United States",10001+,https://www.linkedin.com/company/amgen,,public company,,"Apache, Youtube, Amazon Web Services, Zurb Foundation, Typekit, Modernizr, Iis, Windows Server, Amazon Elb, Gutenberg, Microsoft Asp.Net, Slick, Google Tag Manager, Bootstrap, Hsts, Sitecore, Jquery",""
Full Spectrum Lab Services from CBRE,fullspectrumlabservices.com,Biotechnology Research,"Los Angeles, California, United States",51-200,https://www.linkedin.com/company/full-spectrum-lab-services-from-cbre,Full Spectrum Lab Services from CBRE has everything lab leadership would want: complete turnkey advisory. Contact us today!,privately held,,"Apache Http Server, Jquery, Yoast Seo, Php, Mysql, Wordpress, Polyfill, Welcart, Hsts, Jquery Migrate, Google Tag Manager",""
Biocrates life sciences,biocrates.com,Biotechnology Research,"Innsbruck, Austria",51-200,https://www.linkedin.com/company/biocrates,"Biocrates Life Sciences is a manufacturing industry company that focuses on technology advancements, sustainability practices, and process optimization.",privately held,"manufacturing industry, technology advancements, sustainability practices, process optimization","Variti, Forte, Jsdelivr, Refiner, Apache Http Server, Bootstrap, Smart Slider 3, Jquery Mobile, Modernizr, Ubuntu, Snap.Svg, Wp Rocket, Font Awesome, Jquery Migrate, Mysql, Wordpress, Jquery, Apache, Php, Google Font Api",""
Hayah Laboratories,hayahlaboratories.com,Cosmetics,"Cairo, Egypt",501-1000,https://www.linkedin.com/company/hayah-laboratories2006,,public company,,"Http/3, Php, Litespeed, Swiper, Cloudflare, Woocommerce, Jquery, Litespeed Cache, Litespeed Cache, Cloudflare Browser Insights, Drupal, Underscore.Js, Bricks",""
StemExpress,stemexpress.com,Biotechnology Research,"Folsom, California, United States",51-200,https://www.linkedin.com/company/stemexpress,StemExpress is a biotechnology company that specializes in biospecimen collection for healthcare and research purposes.,privately held,"biotechnology, life sciences, healthcare, research, biospecimen collection","Cloudflare, Kinsta, Font Awesome, Hubspot, Prettyphoto, Matomo, Jquery, Nginx, Google Tag Manager, Wp Rocket, Wordpress, Php, Jquery Migrate, Google Font Api, Mysql, Yoast Seo, Google Analytics, Animate.Css, Magento, Owl Carousel, Woocommerce, Twitter Emoji (Twemoji), Facebook, Jquery Ui, Gsap, Slick, Requirejs, Bootstrap, Youtube, Crazy Egg",""
Quantificare,quantificare.com,Biotechnology Research,"3129 Tiger Run, 92010, Carlsbad, California, United States",51-200,https://www.linkedin.com/company/quantificare-inc-,"Quantificare is a healthcare technology company specializing in medical imaging, 3D imaging, and healthcare analytics.",privately held,"healthcare technology, medical imaging, 3d imaging, healthcare analytics","Debian, Podium, Mysql, Php, Apache Http Server, Hsts, Highlight.Js, Owl Carousel, Forte, Wordpress, Yoast Seo, Jquery, Jquery Migrate, Google Font Api, Apache, Mediaelement.Js, Wp Rocket",""
AVROBIO,avrobio.com,Biotechnology Research,"Cambridge, Massachusetts, United States",51-200,https://www.linkedin.com/company/avrobio,AVROBIO is a biotechnology company that specializes in gene and cell therapy.,public company,"biotechnology, gene therapy, cell therapy, life sciences, healthcare","Wordpress, Mysql, Google Font Api, Nginx, Jquery, Php, Twitter Emoji (Twemoji), Slick, Jquery Ui, Hotjar, Zurb Foundation, Iis, Google Analytics, Jquery Migrate, Drupal, Windows Server, Google Tag Manager, Font Awesome",""
Amgen,amgen.dk,Biotechnology Research,"Thousand Oaks, California, United States",10001+,https://www.linkedin.com/company/amgen,,public company,,"Apache, Webtrends, Sitecore, Amazon Elb, Modernizr, Windows Server, Google Analytics, Youtube, Zurb Foundation, Iis, Slick, Hsts, Jquery, Gutenberg, Google Tag Manager, Microsoft Asp.Net, Bootstrap, Amazon Web Services",""
Affimed,affimed.com,Biotechnology Research,Botswana,51-200,https://www.linkedin.com/company/affimed-ag,Affimed is a biopharmaceutical company that specializes in developing innovative immunotherapies for the treatment of cancer.,public company,"biopharmaceutical, immunotherapy, oncology, biotechnology, drug development","Headjs, Apache, Jquery, Wordpress, Yoast Seo, Php, Apache Http Server, Mysql, Slick, Recaptcha, Lodash",""
EXBIO Praha,exbio.cz,Biotechnology Research,"Vestec, Czechia",51-200,https://www.linkedin.com/company/exbio,"EXBIO Praha is a biotechnology company that specializes in manufacturing monoclonal antibodies and reagents for research and clinical applications, with a focus on multi-color flow cytometry analysis of human cellular markers.",privately held,"biotechnology, life sciences, antibodies, reagents, research, clinical applications, flow cytometry, cellular markers","Recaptcha, Google Analytics, Kentico Cms, Jquery, Google Tag Manager, Iis, Slick, Windows Server, Bootstrap, Microsoft Asp.Net, Typekit, Popper, Fancybox",""
"SONOKO Co., Ltd.",sonoko.co.jp,Cosmetics,Japan,51-200,https://www.linkedin.com/company/sonoko-co.-ltd.,,privately held,,"Facebook, Google Font Api, Php, Swiper Slider, Lua, Ec Cube, Font Awesome, Lightbox, Google Analytics, Google Tag Manager, Owl Carousel, Openresty, Jquery, Nginx",""
Koppert,koppert.es,Biotechnology Research,"La Mojonera, Spain",51-200,https://www.linkedin.com/company/koppert-espa-a-s-l-,KOPPERT_ES is a company in the agriculture industry that specializes in biological pest control and sustainable farming solutions.,privately held,"agriculture, biological pest control, sustainable farming, crop protection","Apache, Lodash, Google Tag Manager, Google Analytics, Typo3 Cms, Jquery, Recaptcha, Fancybox, Google Font Api, Php, Apache Http Server, Azure Edge Network, Facebook, Sentry",""
CapitalBio,capitalbio.com,Biotechnology Research,"Beijing, China",501-1000,https://www.linkedin.com/company/capitalbio,"CapitalBio is a biotechnology company that specializes in healthcare, life sciences, and medical technology solutions.",privately held,"biotechnology, life sciences, healthcare, medical technology","",""
AADI Bioscience,aadibio.com,Biotechnology Research,"Los Angeles, California, United States",51-200,https://www.linkedin.com/company/aadi-bioscience-inc,"Aadi Bioscience is a biopharmaceutical company that focuses on precision therapies for genetically-defined cancers, utilizing mTOR inhibition, precision medicine, and nanoparticle technology.",privately held,"biopharmaceutical, precision therapies, genetically-defined cancers, mtor inhibition, precision medicine, nanoparticle technology","All In One Seo Pack, Bootstrap, Font Awesome, Google Analytics, Twitter Emoji (Twemoji), Apache, Revslider, Mysql, Php, Wordpress, Google Font Api, Jquery Migrate, Typekit, Jquery, Modernizr, Gsap, Elementor, Google Tag Manager",""
Cabimer,cabimer.es,Biotechnology Research,"Sevilla, Spain",51-200,https://www.linkedin.com/company/cabimer,"CABIMER is a research institution specializing in biotechnology, genetics, and biomedical studies.",public company,"biotechnology, research, genetics, biomedical, life sciences","Twitter Emoji (Twemoji), Polylang, Apache Http Server, Animate.Css, Apache, Google Font Api, Php, Gsap, Wordpress, Jquery, Mysql, Bootstrap, Font Awesome, Jquery Migrate, Ubuntu, Revslider",""
Alluxa Optical Filters and Thin-Film Coatings,alluxa.com,Biotechnology Research,"Santa Rosa, California, United States",51-200,https://www.linkedin.com/company/alluxaopticalfilters,Alluxa is a manufacturer of high-performance optical filters and thin-film coatings.,privately held,"optical filters, thin-film coatings, precision thin films, manufacturer, engineering, iso 9001:2015, itar registered","Woocommerce, Owl Carousel, Nginx, Gravity Forms, Jquery Migrate, Magento, Highcharts, Google Tag Manager, Mysql, Wordpress, Jquery, Prototype, Apache, Revslider, Modernizr, Google Font Api, Php, Recaptcha, Bootstrap, Google Analytics, Prettyphoto, Wp Rocket",""
Eikon Therapeutics,eikontx.com,Biotechnology Research,"Hayward, California, United States",201-500,https://www.linkedin.com/company/eikon-therapeutics-inc,Eikon Therapeutics is a biotechnology company that focuses on drug discovery and developing therapeutics.,privately held,"biotechnology, pharmaceuticals, healthcare, drug discovery, therapeutics","Wp Engine, Google Analytics, Google Tag Manager, Cloudflare, Yoast Seo, Jquery, Http/3, Yii, Craft Cms, Php, Gsap, Wordpress, Mysql, Google Font Api, Particles.Js, Jquery Migrate, Flywheel, All In One Seo Pack",""
Kiniksa Pharmaceuticals,kiniksa.com,Biotechnology Research,"Lexington, Massachusetts, United States",201-500,https://www.linkedin.com/company/kiniksa-pharmaceuticals,Kiniksa Pharmaceuticals is a pharmaceutical company that focuses on biotechnology and medical research.,public company,"pharmaceuticals, biotechnology, healthcare, medical research","Google Font Api, Youtube, Jquery Ui, Php, Jquery, Nginx, Google Tag Manager, Amazon Web Services, Google Analytics, Modernizr, Mysql, Font Awesome, Zurb Foundation, Marketo, Slick, Wordpress, Drupal, Yoast Seo, New Relic, Twitter Emoji (Twemoji), Recaptcha, Bootstrap",""
Reaction Biology,reactionbiology.com,Biotechnology Research,"Malvern, Pennsylvania, United States",51-200,https://www.linkedin.com/company/reaction-biology-corporation,Reaction Biology is a biotechnology company that specializes in drug discovery services and pharmaceutical research.,privately held,"biotechnology, life sciences, drug discovery, pharmaceutical research","Drupal, Font Awesome, Php, Microsoft Asp.Net, Apache, Yoast Seo, Cloudflare, Hubspot, Underscore.Js, Wordpress, Google Tag Manager, Wp Engine, Mysql, Iis, Google Analytics, React, Windows Server, Jquery, Scrollreveal, Slick",""
Orphazyme A/S,orphazyme.com,Biotechnology Research,"1155 Long Island, 11717, Edgewood, New York, United States",51-200,https://www.linkedin.com/company/orphazyme,Orphazyme A/S is a biopharmaceutical company that specializes in bringing innovative therapies to patients with neurodegenerative orphan diseases.,public company,"biopharmaceutical, neurodegenerative orphan diseases, innovative therapies","Jquery, Google Font Api, Modernizr, Twitter, Sentry, Typekit, Squarespace, Webpack, Backbone.Js, Font Awesome, Nginx, Apache, Slick, Underscore.Js, Ubuntu, Yoast Seo, Yui, Jquery Migrate, Php, Wordpress, Jquery Ui, Mysql",""
Melinta Therapeutics,melinta.com,Biotechnology Research,"Parsippany, New Jersey, United States",51-200,https://www.linkedin.com/company/melinta-therapeutics,Melinta Therapeutics is a pharmaceutical company that focuses on drug development in the biotechnology and healthcare industry.,privately held,"pharmaceuticals, biotechnology, healthcare, medicine, drug development","Wordpress, Php, Google Tag Manager, Google Analytics, Jquery Migrate, Jquery, Mediaelement.Js, Element Ui, Fancybox, Apache, Twitter Emoji (Twemoji), Nginx, Lightbox, Mysql, Yoast Seo, Google Font Api, W3 Total Cache",""
Kallyope,kallyope.com,Biotechnology Research,"New York City, New York, United States",51-200,https://www.linkedin.com/company/kallyope,Kallyope is a biotechnology company that focuses on leveraging the gut-brain axis to discover new ways of improving human health.,privately held,"biotechnology, life sciences, healthcare, research and development","Owl Carousel, Jquery Migrate, Fastly, Google Tag Manager, Webpack, Jquery, Varnish, Mysql, New Relic, Php, Google Analytics, Font Awesome, Typekit, Wordpress, Pantheon, Mariadb, Yoast Seo, Nginx, React",""
YMC Europe,ymc.eu,Biotechnology Research,"Dinslaken, Germany",51-200,https://www.linkedin.com/company/ymc-europe-gmbh,"YMC Europe is a chromatography specialist that provides chromatographic solutions for peptides, proteins, mAbs, ADCs, and oligonucleotides from R&D scale through scale-up to production, offering innovative bio-chromatography resins.",privately held,"chromatography specialist, bio-chromatography resins, peptides, proteins, mabs, adcs, oligonucleotides, research-driven, scale-up, quality control","Apache, Bootstrap, Apache Http Server, Hsts, Php, Jquery, Contao, Nginx",""
Brightseed,brightseedbio.com,Biotechnology Research,"San Francisco, California, United States",51-200,https://www.linkedin.com/company/brightseedinc,"Brightseed is a biotechnology company that specializes in nutrigenomics, focusing on plant-based compounds for health and wellness.",privately held,"biotechnology, nutrigenomics, health and wellness, plant-based compounds","Node.Js, Webpack, Next.Js, Contentful, Lodash, Animate.Css, Google Tag Manager, Jquery Migrate, Mysql, Jquery, Yoast Seo, Wordpress, Ubuntu, Twitter Emoji (Twemoji), Php, Apache, Google Analytics, Google Font Api, Hubspot, React, Zurb Foundation, Gsap, Revslider, Youtube",""
Lynton Lasers,lynton.co.uk,Cosmetics,"Holmes Chapel, United Kingdom",51-200,https://www.linkedin.com/company/lynton-lasers-ltd,"Lynton Lasers is a company that specializes in providing aesthetic, surgical and conservation lasers, offering high-quality equipment across three separate divisions.",privately held,"aesthetic lasers, surgical lasers, conservation lasers, medical equipment, manufacturing, supplier","Google Tag Manager, Woocommerce, Gsap, Php, Wordpress, Mysql, Trackjs, Twitter Emoji (Twemoji), Crazy Egg, Google Analytics, Ionicons, Revslider, Yoast Seo, Litespeed, Google Font Api, Apache, Recaptcha, Youtube, Google Maps, Underscore.Js, Jquery, Cdnjs, Jquery Migrate",""
BioGX,biogx.com,Biotechnology Research,"Birmingham, Alabama, United States",51-200,https://www.linkedin.com/company/biogx,"BioGX is a molecular diagnostics company that focuses on health and safety through developing diagnostic tests for various industries such as Water Quality, Food Safety, and Pharma Quality Control.",privately held,"molecular diagnostics, health and safety, diagnostic tests, water quality, food safety, pharma quality control","Recaptcha, Google Font Api, Woocommerce, Mysql, Tawk.To, Wordpress, Nginx, Google Analytics, Php, Jquery, Handlebars, Lightbox, Google Tag Manager, Lodash",""
AB Vista,abvista.com,Biotechnology Research,"Marlborough, United Kingdom",51-200,https://www.linkedin.com/company/ab-vista,AB Vista is a provider of innovative animal nutrition solutions and feed additives.,public company,"animal nutrition, feed additives, agricultural biotechnology, nutrition solutions, feed industry","Videojs, Bootstrap, Google Tag Manager, Windows Server, Modernizr, Microsoft Asp.Net, Kentico Cms, Iis, Highcharts, Google Maps, Slick, Jquery, Php, Caddy, Font Awesome, Google Font Api, Gojs, Google Analytics",""
NewLink Genetics (United States),linkp.com,Biotechnology Research,,51-200,https://www.linkedin.com/company/bioprotection-systems-corporation,NewLink Genetics is a biotechnology company specializing in pharmaceutical research and healthcare products.,public company,"biotechnology, pharmaceuticals, healthcare",Nginx,""
African BioGenome Project,africanbiogenome.org,Biotechnology Research,"Mahdia, Tunisia",51-200,https://www.linkedin.com/company/african-biogenome-project,African BioGenome Project is a genomics-focused initiative that aims to build capacity for applying genomics data to enhance biodiversity and agriculture sustainability in Africa.,non profit,"genomics, biodiversity, agriculture, capacity building, pan-african, data application","Apache Http Server, Revslider, Twitter Emoji (Twemoji), Underscore.Js, Google Tag Manager, Twitter, Jquery, Gsap, Jquery Migrate, Google Font Api, Slick, Google Analytics, Wordpress, Php, Apache, Font Awesome, Mysql",""
Compugen Ltd.,cgen.com,Biotechnology Research,"Tel Aviv, Israel",51-200,https://www.linkedin.com/company/compugen-ltd,"Compugen is a biopharmaceutical company that specializes in therapeutic discovery and drug development, with a focus on identifying new drug targets and biological pathways for cancer immunotherapies.",public company,"biopharmaceutical, therapeutic discovery, drug development, cancer immunotherapy, computational discovery, biological pathways","Jquery Migrate, Mysql, Yoast Seo, Php, Wordpress, Sucuri, Jquery, Jquery Ui, Gsap, Lodash, Recaptcha, W3 Total Cache, Swiper Slider, Elementor, Apache, Google Analytics, Google Font Api, Nginx, Twitter Emoji (Twemoji)",""
Biochrom,biochrom.co.uk,Biotechnology Research,"Cambridge, United Kingdom",51-200,https://www.linkedin.com/company/biochrom-ltd,"Biochrom is a scientific instruments manufacturer that specializes in UV/Vis spectroscopy, microplate instrumentation, and amino acid analysis.",public company,"scientific instruments, uv/vis spectroscopy, microplate instrumentation, amino acid analysis, laboratories, hospitals","Jquery, Google Analytics, Windows Server, Iis, Cufon, Act On",""
CIATEJ,ciatej.mx,Biotechnology Research,"Guadalajara, Mexico",51-200,https://www.linkedin.com/company/ciatej,CIATEJ is a biotechnology research and development company specializing in innovative scientific services for the food and beverage industry and healthcare sectors.,government agency,"biotechnology, research and development, innovation, food and beverage industry, healthcare, scientific services",Php,""
Ardelyx,ardelyx.com,Biotechnology Research,"Waltham, Massachusetts, United States",201-500,https://www.linkedin.com/company/ardelyx-inc-,Ardelyx is a pharmaceutical company that focuses on research and development of innovative medicines for the treatment of gastrointestinal and cardiorenal diseases.,public company,"pharmaceuticals, biotechnology, healthcare, medical research","Google Maps, Cloudflare, Google Analytics, Mysql, Wordpress, Jquery, Jquery Migrate, Twitter Emoji (Twemoji), Nginx, Google Font Api, Php, Bootstrap, Chart.Js, Yoast Seo, Slick, Font Awesome",""
BERG,berghealth.com,Biotechnology Research,"Framingham, Massachusetts, United States",51-200,https://www.linkedin.com/company/berghealth,BERG is a healthcare technology company that offers innovative healthcare solutions and digital health products.,privately held,"healthcare technology, healthcare solutions, medical devices, digital health, health data management","Php, Jquery, Google Analytics, Litespeed Cache, Mysql, Wordpress, Jquery Migrate, Sucuri, Litespeed",""
Sustainable Agro Solutions,sas-agri.com,Biotechnology Research,"Almacelles, Spain",51-200,https://www.linkedin.com/company/sustainable-agro-solutions-s.a.u.,Sustainable Agro Solutions is an agricultural company that focuses on providing environmentally-friendly solutions and technologies for sustainable farming practices.,privately held,"agriculture, sustainability, agrotechnology, environmental solutions","Google Maps, Twitter Emoji (Twemoji), Jquery Migrate, Mysql, Jquery Ui, Owl Carousel, Mediaelement.Js, Chart.Js, Wordpress, Select2, Google Font Api, Lodash, Babel, Gsap, Nginx, Tagembed, Recaptcha, Google Analytics, Modernizr, Google Tag Manager, Php, Jquery, Wpml, Aitrillion, Bootstrap",""
Dust and Cream,dustandcream.gr,Cosmetics,North Macedonia,201-500,https://www.linkedin.com/company/dustandcream,Dust and Cream is a cosmetics company that offers a wide range of beauty and skincare products.,privately held,"cosmetics, beauty products, skincare, personal care","Google Font Api, Google Tag Manager, Polyfill, Requirejs, Magento, Jquery, Underscore.Js, Php, Slick, Font Awesome, Bootstrap, Ionicons, Mysql, Jquery Migrate, Jquery Ui, Moment.Js, Debian, Apache, Facebook, Google Analytics, Recaptcha, Owl Carousel",""
Zymeworks,zymeworks.com,Biotechnology Research,"Vancouver, Canada",201-500,https://www.linkedin.com/company/zymeworks,Zymeworks is a biotechnology company that specializes in drug development and therapeutics.,public company,"biotechnology, pharmaceuticals, drug development, therapeutics, biopharmaceuticals","Google Tag Manager, Jquery Ui, Mysql, Jquery, Php, Wordpress, Google Font Api, Iis, Lightbox, Windows Server, Storylane, Google Analytics, Recaptcha, Nginx, Fastly, Elementor, Hsts, Mariadb, Jquery Migrate, Yoast Seo, Pantheon, Varnish, Microsoft Asp.Net",""
Technical Safety Services,techsafety.com,Biotechnology Research,"San Diego, California, United States",501-1000,https://www.linkedin.com/company/technical-safety-services,Technical Safety Services is a provider of safety services and compliance solutions specializing in testing and certification.,privately held,"safety services, compliance solutions, testing and certification, technical services","Pantheon, Drupal, Varnish, Php, Mariadb, Nginx, Fastly, Google Analytics, Google Tag Manager, Jquery",""
Balkan Pharmaceuticals,balkanpharmaceuticals.com,Biotechnology Research,"22150, Delaware, United States",201-500,https://www.linkedin.com/company/balkan-pharmaceuticals,Balkan Pharmaceuticals is a pharmaceutical company that specializes in producing and distributing healthcare products and medicines.,privately held,"pharmaceuticals, healthcare, medicine, pharmaceutical industry","Cloudflare, Jquery, Php",""
